logmar,condition,normalization,pair,pair_label,mimicry_sym_mean,mimicry_sym_max,mimicry_sym_min,mimicry_ab,mimicry_ba
-0.3,stabilized,zscore,0-90,0↔90,0.4227248898080428,0.5053088682880176,0.34014091132806795,0.34014091132806795,0.5053088682880176
-0.3,stabilized,zscore,0-180,0↔180,0.5523754980935061,0.5726209049955069,0.5321300911915052,0.5321300911915052,0.5726209049955069
-0.3,stabilized,zscore,0-270,0↔270,0.5586238226127516,0.6477927889281179,0.4694548562973852,0.4694548562973852,0.6477927889281179
-0.3,stabilized,zscore,90-180,90↔180,0.032136751820689986,0.03364324673110362,0.030630256910276356,0.030630256910276356,0.03364324673110362
-0.3,stabilized,zscore,90-270,90↔270,0.15549587183542182,0.16885303453906753,0.14213870913177612,0.14213870913177612,0.16885303453906753
-0.3,stabilized,zscore,180-270,180↔270,0.011915453174926448,0.012794054300340413,0.01103685204951248,0.01103685204951248,0.012794054300340413
-0.25,real,raw,0-90,0↔90,0.4453669004083428,0.46209704851666145,0.42863675230002424,0.46209704851666145,0.42863675230002424
-0.25,real,raw,0-180,0↔180,0.4640423455513825,0.6747220892897147,0.25336260181305037,0.6747220892897147,0.25336260181305037
-0.25,real,raw,0-270,0↔270,0.6800045870435566,0.7434493704344053,0.6165598036527079,0.7434493704344053,0.6165598036527079
-0.25,real,raw,90-180,90↔180,0.16050863713168134,0.20262952832790473,0.11838774593545795,0.20262952832790473,0.11838774593545795
-0.25,real,raw,90-270,90↔270,0.35101989585602733,0.3932604171606287,0.3087793745514259,0.3932604171606287,0.3087793745514259
-0.25,real,raw,180-270,180↔270,0.06660129614152825,0.09431570142243262,0.03888689086062388,0.03888689086062388,0.09431570142243262
-0.25,real,zscore,0-90,0↔90,0.3270747611073899,0.3857378142296333,0.2684117079851465,0.3857378142296333,0.2684117079851465
-0.25,real,zscore,0-180,0↔180,0.40505545485415223,0.6640863922146154,0.14602451749368905,0.6640863922146154,0.14602451749368905
-0.25,real,zscore,0-270,0↔270,0.4310266624989516,0.6804162899061221,0.18163703509178106,0.6804162899061221,0.18163703509178106
-0.25,real,zscore,90-180,90↔180,0.15250682935934856,0.22514699887557213,0.07986665984312502,0.22514699887557213,0.07986665984312502
-0.25,real,zscore,90-270,90↔270,0.15664986027417444,0.21933347029844028,0.09396625024990862,0.21933347029844028,0.09396625024990862
-0.25,real,zscore,180-270,180↔270,0.004212172115470765,0.00721454433359733,0.001209799897344199,0.001209799897344199,0.00721454433359733
-0.25,stabilized,raw,0-90,0↔90,0.36479362335143284,0.3764534988669959,0.3531337478358697,0.3764534988669959,0.3531337478358697
-0.25,stabilized,raw,0-180,0↔180,0.3845315482617093,0.5869215368072416,0.1821415597161771,0.5869215368072416,0.1821415597161771
-0.25,stabilized,raw,0-270,0↔270,0.5249802548259302,0.5658866731907275,0.48407383646113306,0.5658866731907275,0.48407383646113306
-0.25,stabilized,raw,90-180,90↔180,0.026130261119966712,0.026161688736228535,0.026098833503704892,0.026098833503704892,0.026161688736228535
-0.25,stabilized,raw,90-270,90↔270,0.10922218716801416,0.11446006875864478,0.10398430557738352,0.11446006875864478,0.10398430557738352
-0.25,stabilized,raw,180-270,180↔270,0.06816416570078103,0.10621032058892259,0.030118010812639474,0.030118010812639474,0.10621032058892259
-0.25,stabilized,zscore,0-90,0↔90,0.34325209598876216,0.34802082523570954,0.3384833667418148,0.34802082523570954,0.3384833667418148
-0.25,stabilized,zscore,0-180,0↔180,0.3109122638716641,0.5479365858357974,0.0738879419075308,0.5479365858357974,0.0738879419075308
-0.25,stabilized,zscore,0-270,0↔270,0.3580782585911345,0.47512138313992186,0.24103513404234717,0.47512138313992186,0.24103513404234717
-0.25,stabilized,zscore,90-180,90↔180,0.05602227970107857,0.06777017551597299,0.044274383886184154,0.06777017551597299,0.044274383886184154
-0.25,stabilized,zscore,90-270,90↔270,0.04333917195240822,0.05040236073639776,0.036275983168418666,0.036275983168418666,0.05040236073639776
