trial_id,prior_family,prior_scale,response_cache_path,true_image_id_unsmoothed,continuous_joint_correct_unsmoothed,continuous_joint_pred_image_id_unsmoothed,continuous_joint_true_margin_unsmoothed,catalog_residual_true_best_anchor_index_unsmoothed,catalog_residual_true_anchor_score_gap_unsmoothed,trajectory_rmse_unsmoothed,trajectory_corr_mean_unsmoothed,nearest_trajectory_distance_unsmoothed,true_image_id_smooth6,continuous_joint_correct_smooth6,continuous_joint_pred_image_id_smooth6,continuous_joint_true_margin_smooth6,catalog_residual_true_best_anchor_index_smooth6,catalog_residual_true_anchor_score_gap_smooth6,trajectory_rmse_smooth6,trajectory_corr_mean_smooth6,nearest_trajectory_distance_smooth6,prediction_changed,anchor_changed,rmse_improved,corr_improved
59,axis_edge_parallel,2.0,response_tables/trial_00059_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,source_row:2460,False,source_row:2457,-0.0205154540893772,6,0.6437589408611757,0.0582993695478374,0.614922362769242,0.0505660362541675,source_row:2460,False,source_row:2457,-0.0212872590077495,6,0.6489664422688293,0.0568920416078985,0.607373644895806,0.0505660362541675,False,False,True,False
59,axis_edge_orthogonal,2.0,response_tables/trial_00059_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel2x.npz,source_row:2460,True,source_row:2460,0.0006509040703122,6,0.8087228758196261,0.1020019563241864,0.1303286192340098,0.1260785609483719,source_row:2460,False,source_row:2457,-8.055269188389502e-05,6,0.8170254965821186,0.098819467332653,0.1415331893106383,0.1260785609483719,True,False,True,True
60,axis_edge_parallel,0.5,response_tables/trial_00060_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,source_row:2518,True,source_row:2518,0.3427186503223538,4,0.4449400123112355,0.0337930062173454,-0.0839596726280711,0.0307710394263267,source_row:2518,True,source_row:2518,0.3433983188810998,4,0.4453409598960434,0.0335922289729798,-0.0802949887033536,0.0307710394263267,False,False,True,True
60,axis_edge_orthogonal,0.5,response_tables/trial_00060_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,source_row:2518,True,source_row:2518,0.4491026474341311,0,0.5569923492872704,0.0381378198125802,-0.206393373667583,0.0396152921020984,source_row:2518,True,source_row:2518,0.4491499060692945,0,0.557319872521191,0.0380083543855317,-0.2074454662012317,0.0396152921020984,False,False,True,False
61,axis_edge_parallel,1.0,response_tables/trial_00061_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel1x.npz,source_row:2518,True,source_row:2518,0.3757986718824213,14,0.6587829971049928,0.0624444485406213,-0.1480938722554392,0.0857690647244453,source_row:2518,True,source_row:2518,0.3828911587151538,14,0.664561200404421,0.0624077339403489,-0.162223594491266,0.0857690647244453,False,False,True,False
61,axis_edge_orthogonal,1.0,response_tables/trial_00061_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel1x.npz,source_row:2518,True,source_row:2518,1.0154963934195962,14,0.8531139011675464,0.0833339029289753,-0.3516117251965965,0.0791413933038711,source_row:2518,True,source_row:2518,1.0118516985775727,14,0.8553782128569196,0.0825187579602114,-0.3446768613034611,0.0791413933038711,False,False,True,True
62,axis_edge_parallel,2.0,response_tables/trial_00062_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,source_row:2518,True,source_row:2518,0.0557165369650647,13,1.0658001812768134,0.0937826754101996,0.0292488606029929,0.1138262897729873,source_row:2518,True,source_row:2518,0.059204944615999,13,1.05035643969768,0.0919322933060312,-0.0140162647408599,0.1138262897729873,False,False,True,False
62,axis_edge_orthogonal,2.0,response_tables/trial_00062_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel2x.npz,source_row:2518,True,source_row:2518,0.3649012785243712,13,1.2416644840766369,0.0966380905823098,-0.0529759607083268,0.1110375672578811,source_row:2518,True,source_row:2518,0.3551124381735917,13,1.2366600960817775,0.0947473798372736,-0.0830012167682815,0.1110375672578811,False,False,True,False
63,axis_edge_parallel,0.5,response_tables/trial_00063_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,source_row:2584,True,source_row:2584,0.7794947106044674,11,0.4259697469809111,0.0214955528042314,0.0864853563591955,0.0172933395951986,source_row:2584,True,source_row:2584,0.7799495721703238,11,0.4251448808769851,0.0202964259860196,0.0978316840534815,0.0172933395951986,False,False,True,True
63,axis_edge_orthogonal,0.5,response_tables/trial_00063_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,source_row:2584,True,source_row:2584,0.6382780876607512,11,0.6824475208795775,0.0201813520949388,-0.0383293403910295,0.0195962563157081,source_row:2584,True,source_row:2584,0.6376803765961085,11,0.6824101757993049,0.0194099203031878,-0.0655596956380789,0.0195962563157081,False,False,True,False
