trial_id,response_cache_path,prior_family,prior_scale,lag_model,lags,n_lags,n_candidates,n_trajectories,n_timebins,basis_dim,ridge,mean_cv_r2_energy,median_cv_r2_energy,mean_train_r2_energy,median_coef_s2_over_s1,median_coef_s3_over_s1
6,response_tables/trial_00006_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,axis_edge_parallel,0.5,lag0_1,"0,1",2,4,16,40,10,0.01,-0.004189535734528793,-0.0026421521329860753,0.011053501213333095,0.048591851115411776,1.762937011280453e-08
6,response_tables/trial_00006_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,axis_edge_parallel,0.5,lag0_1_2,"0,1,2",3,4,16,40,10,0.01,-0.014452600406686833,-0.015353336371834003,0.021439564513310555,0.044429125285428105,0.029432097388805645
6,response_tables/trial_00006_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,axis_edge_parallel,0.5,lag0_1_2_4,"0,1,2,4",4,4,16,40,10,0.01,-0.029562414182269736,-0.03560886241315675,0.03872346598246107,0.09438112649674765,0.04011359181219383
6,response_tables/trial_00006_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,axis_edge_parallel,0.5,lag0_1_2_4_8,"0,1,2,4,8",5,4,16,40,10,0.01,-0.03505567168095197,-0.03795178164330337,0.05061495955937628,0.16128869579728505,0.09907575344779238
6,response_tables/trial_00006_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,axis_edge_orthogonal,0.5,instant,0,1,4,16,40,10,0.01,0.001155025848894209,-0.00024709854186544256,0.004700441777185482,8.292187206837847e-07,
6,response_tables/trial_00006_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,axis_edge_orthogonal,0.5,lag0_1,"0,1",2,4,16,40,10,0.01,0.0012237479229436632,-0.00023147228715580948,0.010073725533606609,0.12769923927992954,4.685443802965706e-08
6,response_tables/trial_00006_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,axis_edge_orthogonal,0.5,lag0_1_2,"0,1,2",3,4,16,40,10,0.01,-0.003849793957341696,-0.002905945630519269,0.015954407416333555,0.10886982114617608,0.04445917004241233
6,response_tables/trial_00006_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,axis_edge_orthogonal,0.5,lag0_1_2_4,"0,1,2,4",4,4,16,40,10,0.01,-0.012370327278809906,-0.009570953398089554,0.026298034675008103,0.11394143851062483,0.07524640362132358
6,response_tables/trial_00006_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,axis_edge_orthogonal,0.5,lag0_1_2_4_8,"0,1,2,4,8",5,4,16,40,10,0.01,-0.015177972817998597,-0.013108052064474407,0.032496418788545534,0.24674604735874117,0.11365197221966297
7,response_tables/trial_00007_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel1x.npz,axis_edge_parallel,1.0,instant,0,1,4,16,40,10,0.01,-0.006136183010504059,-0.00441597264658411,0.002912388022964868,4.88850879706452e-07,
