run_label,run_slug,observer,accuracy,observer_label
"No-anchor DCT coarse-to-fine, k=10, AR(1)",noanchor_dct_c2f_k10_ar1_basis2_var0p05,continuous_joint_accuracy,0.5598958333333334,continuous joint
"No-anchor DCT coarse-to-fine, k=10, AR(1)",noanchor_dct_c2f_k10_ar1_basis2_var0p05,joint_accuracy,0.76953125,finite joint
"No-anchor DCT coarse-to-fine, k=10, AR(1)",noanchor_dct_c2f_k10_ar1_basis2_var0p05,known_accuracy,1.0,known eye
"No-anchor DCT coarse-to-fine, k=10, AR(1)",noanchor_dct_c2f_k10_ar1_basis2_var0p05,zero_accuracy,0.4453125,zero eye
"No-anchor DCT coarse-to-fine, k=10, matched Brownian",noanchor_dct_c2f_k10_matched_brownian_basis12_var0p05,best_single_tau_accuracy,0.7838541666666666,best catalog trajectory
"No-anchor DCT coarse-to-fine, k=10, matched Brownian",noanchor_dct_c2f_k10_matched_brownian_basis12_var0p05,continuous_joint_accuracy,0.5572916666666666,continuous joint
"No-anchor DCT coarse-to-fine, k=10, matched Brownian",noanchor_dct_c2f_k10_matched_brownian_basis12_var0p05,joint_accuracy,0.76953125,finite joint
"No-anchor DCT coarse-to-fine, k=10, matched Brownian",noanchor_dct_c2f_k10_matched_brownian_basis12_var0p05,known_accuracy,1.0,known eye
"No-anchor DCT coarse-to-fine, k=10, matched Brownian",noanchor_dct_c2f_k10_matched_brownian_basis12_var0p05,zero_accuracy,0.4453125,zero eye
"No-anchor known-start AR(1), axis-interleaved k=10",noanchor_knownstart_linear_ar1_axis_interleaved_basis_k10,best_single_tau_accuracy,0.7838541666666666,best catalog trajectory
"No-anchor known-start AR(1), axis-interleaved k=10",noanchor_knownstart_linear_ar1_axis_interleaved_basis_k10,continuous_joint_accuracy,0.55859375,continuous joint
"No-anchor known-start AR(1), axis-interleaved k=10",noanchor_knownstart_linear_ar1_axis_interleaved_basis_k10,joint_accuracy,0.76953125,finite joint
"No-anchor known-start AR(1), axis-interleaved k=10",noanchor_knownstart_linear_ar1_axis_interleaved_basis_k10,known_accuracy,1.0,known eye
"No-anchor known-start AR(1), axis-interleaved k=10",noanchor_knownstart_linear_ar1_axis_interleaved_basis_k10,zero_accuracy,0.4453125,zero eye
"No-anchor known-start AR(1), k=10",noanchor_knownstart_linear_ar1_var0p01,best_single_tau_accuracy,0.7838541666666666,best catalog trajectory
"No-anchor known-start AR(1), k=10",noanchor_knownstart_linear_ar1_var0p01,continuous_joint_accuracy,0.5611979166666666,continuous joint
"No-anchor known-start AR(1), k=10",noanchor_knownstart_linear_ar1_var0p01,joint_accuracy,0.76953125,finite joint
"No-anchor known-start AR(1), k=10",noanchor_knownstart_linear_ar1_var0p01,known_accuracy,1.0,known eye
"No-anchor known-start AR(1), k=10",noanchor_knownstart_linear_ar1_var0p01,zero_accuracy,0.4453125,zero eye
"No-anchor residual CTF known-start DCT, k=10",noanchor_residual_c2f_knownstart_dct_ar1_var0p01,best_single_tau_accuracy,0.7838541666666666,best catalog trajectory
"No-anchor residual CTF known-start DCT, k=10",noanchor_residual_c2f_knownstart_dct_ar1_var0p01,continuous_joint_accuracy,0.5625,continuous joint
"No-anchor residual CTF known-start DCT, k=10",noanchor_residual_c2f_knownstart_dct_ar1_var0p01,joint_accuracy,0.76953125,finite joint
"No-anchor residual CTF known-start DCT, k=10",noanchor_residual_c2f_knownstart_dct_ar1_var0p01,known_accuracy,1.0,known eye
"No-anchor residual CTF known-start DCT, k=10",noanchor_residual_c2f_knownstart_dct_ar1_var0p01,zero_accuracy,0.4453125,zero eye
