run_family,run_slug,run_label,observer_mode,latent,prior_scale,posterior_temperature,n,image_accuracy,mean_feature_cosine,median_feature_cosine,mean_true_mass,median_N_eff_fraction
no_anchor,noanchor_quadratic_scale_conditioned,No-anchor quadratic scale-conditioned,continuous_joint,pyramid_local_field,2.0,0.5,256,0.60546875,0.9108180070094064,0.9493108050117505,0.47598372095667746,0.6178997773923318
no_anchor,noanchor_quadratic_scale_conditioned,No-anchor quadratic scale-conditioned,continuous_joint,pyramid_local_field,2.0,1.0,256,0.60546875,0.9039984307396763,0.9180895695046054,0.414069188991828,0.8100181143002118
no_anchor,noanchor_quadratic_scale_conditioned,No-anchor quadratic scale-conditioned,continuous_joint,pyramid_local_field,2.0,2.0,256,0.60546875,0.8890321372736468,0.8944962166793302,0.34982258125067783,0.927658042576385
no_anchor,noanchor_quadratic_scale_conditioned,No-anchor quadratic scale-conditioned,continuous_joint,pyramid_local_field,2.0,4.0,256,0.60546875,0.8728200447302975,0.8715131033534224,0.30397572167559145,0.9794261234742874
no_anchor,noanchor_quadratic_scale_conditioned,No-anchor quadratic scale-conditioned,continuous_joint,pyramid_local_field,2.0,8.0,256,0.60546875,0.8610941460291591,0.8577577995923273,0.27792376342045466,0.9948303164308602
no_anchor,noanchor_quadratic_scale_conditioned,No-anchor quadratic scale-conditioned,continuous_joint,pyramid_local_field,2.0,16.0,256,0.60546875,0.8540211387092804,0.8497996902878238,0.26420124348919166,0.9987032068164432
no_anchor,noanchor_quadratic_scale_conditioned_iter160,No-anchor quadratic scale-conditioned iter160,continuous_joint,pyramid_local_field,0.5,0.125,256,0.81640625,0.9580192666245683,0.997464377691864,0.6841478328778672,0.3123789041191125
no_anchor,noanchor_quadratic_scale_conditioned_iter160,No-anchor quadratic scale-conditioned iter160,continuous_joint,pyramid_local_field,0.5,0.25,256,0.81640625,0.9534788473046044,0.9888652767935887,0.6155080983621941,0.4905746438277143
no_anchor,noanchor_quadratic_scale_conditioned_iter160,No-anchor quadratic scale-conditioned iter160,continuous_joint,pyramid_local_field,0.5,0.5,256,0.81640625,0.9402500914877551,0.9596683797909353,0.5252173475809638,0.6590562778788888
no_anchor,noanchor_quadratic_scale_conditioned_iter160,No-anchor quadratic scale-conditioned iter160,continuous_joint,pyramid_local_field,0.5,1.0,256,0.81640625,0.9179137708659455,0.9345020786784848,0.4265693326802004,0.8390854810048273
no_anchor,noanchor_quadratic_scale_conditioned_iter160,No-anchor quadratic scale-conditioned iter160,continuous_joint,pyramid_local_field,0.5,2.0,256,0.81640625,0.8921555108822237,0.8946695438654525,0.34673482174195264,0.9452038310633213
no_anchor,noanchor_quadratic_scale_conditioned_iter160,No-anchor quadratic scale-conditioned iter160,continuous_joint,pyramid_local_field,0.5,4.0,256,0.81640625,0.8719689696938295,0.8669138513119785,0.29945635505961155,0.9850050110466969
no_anchor,noanchor_quadratic_scale_conditioned_iter160,No-anchor quadratic scale-conditioned iter160,continuous_joint,pyramid_local_field,0.5,8.0,256,0.81640625,0.8597376147811485,0.8515450671219019,0.2748727401006799,0.9960182324822853
no_anchor,noanchor_quadratic_scale_conditioned_iter160,No-anchor quadratic scale-conditioned iter160,continuous_joint,pyramid_local_field,0.5,16.0,256,0.81640625,0.8530292614124243,0.8463275186913588,0.2624484908159709,0.9989834666140893
no_anchor,noanchor_quadratic_scale_conditioned_iter160,No-anchor quadratic scale-conditioned iter160,continuous_joint,pyramid_local_field,1.0,0.125,256,0.70703125,0.9383972243335462,0.9950561873372861,0.6201391330041062,0.3734914350417415
no_anchor,noanchor_quadratic_scale_conditioned_iter160,No-anchor quadratic scale-conditioned iter160,continuous_joint,pyramid_local_field,1.0,0.25,256,0.70703125,0.9367135491548467,0.97732699676747,0.5645724915899195,0.5001323350888729
no_anchor,noanchor_quadratic_scale_conditioned_iter160,No-anchor quadratic scale-conditioned iter160,continuous_joint,pyramid_local_field,1.0,0.5,256,0.70703125,0.9267058897608551,0.9525125142353046,0.49450177570795545,0.7046398912875376
no_anchor,noanchor_quadratic_scale_conditioned_iter160,No-anchor quadratic scale-conditioned iter160,continuous_joint,pyramid_local_field,1.0,1.0,256,0.70703125,0.9102893885664762,0.9232584315956098,0.4160741966788263,0.8595469274122963
no_anchor,noanchor_quadratic_scale_conditioned_iter160,No-anchor quadratic scale-conditioned iter160,continuous_joint,pyramid_local_field,1.0,2.0,256,0.70703125,0.8896742946082626,0.8960760333639547,0.3453559836478205,0.9496453893906307
no_anchor,noanchor_quadratic_scale_conditioned_iter160,No-anchor quadratic scale-conditioned iter160,continuous_joint,pyramid_local_field,1.0,4.0,256,0.70703125,0.8715876351700892,0.8712526063561459,0.2999584642525106,0.9856298040447047
