table_index,trial_id,prior_scale,prior_family,image_correct,feature_cosine,candidate_posterior_true_mass,residual_variance,B_train_r2_energy,B_singular1,B_singular2_fraction,B_singular3_fraction
65,32,2.0,axis_edge_orthogonal,True,0.9856625966829848,0.3767912201204247,9.630740786810382e-05,0.1925561873182717,0.9693175686805134,0.010316859734810706,7.498374327198068e-09
66,33,0.5,axis_edge_parallel,True,0.9850951876298172,0.810146420799327,4.430606369649842e-05,0.3839067153599086,1.5733995993559762,0.009941508699763728,1.1917485475702897e-08
67,33,0.5,axis_edge_orthogonal,True,0.986338980786443,0.8167794227516191,5.528617244908909e-05,0.3675677150542356,1.697877760009436,0.008647267370651293,1.383960910590641e-08
68,34,1.0,axis_edge_parallel,True,0.9887706907852584,0.8351545082042666,5.7916968360363656e-05,0.2564482806659662,0.9314754977798756,0.012260905630449149,6.022026737218275e-09
69,34,1.0,axis_edge_orthogonal,True,0.9923818798858364,0.8631885977938352,7.130203331366125e-05,0.2445367335207585,1.0007085417983987,0.011418600809180066,5.883988440572197e-09
70,35,2.0,axis_edge_parallel,True,0.9906741884811,0.8507990543825648,5.585465899270312e-05,0.267908553296373,0.9746271163539716,0.016392452581550622,5.337310452831932e-09
71,35,2.0,axis_edge_orthogonal,True,0.9959590020561506,0.8997656479832814,7.794907739968465e-05,0.2692190790529324,1.1573058529950282,0.013844868574996427,5.096857065463663e-09
72,36,0.5,axis_edge_parallel,True,0.9647426489934996,0.7144790456699253,5.493114985322981e-05,0.2671907364427077,1.3220807404010828,0.006165072080295259,4.039602133634646e-09
73,36,0.5,axis_edge_orthogonal,True,0.969926952311658,0.7359673852765001,0.0001241736266168,0.2311074512285521,1.797485591785721,0.004282418467246291,4.405637328671055e-09
74,37,1.0,axis_edge_parallel,True,0.9359534754446364,0.6324980388426483,3.928781809540772e-05,0.2698971829257098,0.8171812943576565,0.01470868568297299,5.869068278636529e-10
75,37,1.0,axis_edge_orthogonal,True,0.9528297954354944,0.678313671099757,7.847126669024202e-05,0.2195499912463693,1.0085077134995784,0.012643725793383465,1.1069250826420848e-09
76,38,2.0,axis_edge_parallel,False,0.7311274497812565,0.2971991581446181,5.495611054455426e-05,0.1202549403625133,0.4469643587103927,0.028159277285150004,1.7835062500874076e-09
77,38,2.0,axis_edge_orthogonal,True,0.8665935398904393,0.4636541118448376,0.0001449927822702,0.1058799746830616,0.6788171162572467,0.01999256305242851,1.3801828120744925e-09
