latent,feature_space_mode,contrast,lhs,rhs,observation_scale,prior_family,mean_feature_cosine_delta,ci_low,ci_high,fraction_positive,n
pyramid_local_field,fold_zscore_pca,known_motion_minus_zero_static,known_eye,zero_static,all,all,-0.24822127532301078,-0.4593693052896625,-0.015101732162168608,0.25,8
pyramid_local_field,fold_zscore_whitened_pca,known_motion_minus_zero_static,known_eye,zero_static,all,all,-0.22638228471626332,-0.5676144401656963,0.1117686506830713,0.75,8
pyramid_local_field,global_centered_whitened_pca,known_motion_minus_zero_static,known_eye,zero_static,all,all,-0.22033360740594932,-0.38656947001279524,0.09318078157745417,0.5,8
pyramid_local_field,fold_centered_whitened_pca,hidden_motion_minus_zero_static,hidden_eye_tau_marginal,zero_static,0.5,all,-0.6346838062456797,-0.697031532858381,-0.5723360796329784,0.0,4
pyramid_local_field,fold_zscore_pca,hidden_motion_minus_zero_static,hidden_eye_tau_marginal,zero_static,0.5,all,-0.6794037950584089,-0.8021147022531111,-0.6180483414610577,0.0,4
pyramid_local_field,fold_zscore_whitened_pca,hidden_motion_minus_zero_static,hidden_eye_tau_marginal,zero_static,0.5,all,-0.5546783284712171,-0.5829488105861161,-0.5115658432459961,0.0,4
pyramid_local_field,global_centered_whitened_pca,hidden_motion_minus_zero_static,hidden_eye_tau_marginal,zero_static,0.5,all,-0.6122327435851579,-0.6748955629080421,-0.5711423702586764,0.0,4
pyramid_local_field,fold_centered_whitened_pca,hidden_motion_minus_zero_static,hidden_eye_tau_marginal,zero_static,1.0,all,-0.47001024441366845,-0.47001024441366845,-0.47001024441366845,0.0,2
pyramid_local_field,fold_zscore_pca,hidden_motion_minus_zero_static,hidden_eye_tau_marginal,zero_static,1.0,all,-0.2742052793672229,-0.2742052793672229,-0.2742052793672229,0.0,2
pyramid_local_field,fold_zscore_whitened_pca,hidden_motion_minus_zero_static,hidden_eye_tau_marginal,zero_static,1.0,all,-0.011787745886120415,-0.011787745886120415,-0.011787745886120415,0.0,2
pyramid_local_field,global_centered_whitened_pca,hidden_motion_minus_zero_static,hidden_eye_tau_marginal,zero_static,1.0,all,-0.2978328212263448,-0.2978328212263448,-0.2978328212263448,0.0,2
pyramid_local_field,fold_centered_whitened_pca,hidden_motion_minus_zero_static,hidden_eye_tau_marginal,zero_static,2.0,all,-0.5601114080536447,-0.5601114080536447,-0.5601114080536447,0.0,2
pyramid_local_field,fold_zscore_pca,hidden_motion_minus_zero_static,hidden_eye_tau_marginal,zero_static,2.0,all,-0.5128302799318883,-0.5128302799318883,-0.5128302799318883,0.0,2
pyramid_local_field,fold_zscore_whitened_pca,hidden_motion_minus_zero_static,hidden_eye_tau_marginal,zero_static,2.0,all,-0.29515553569125647,-0.29515553569125647,-0.29515553569125647,0.0,2
pyramid_local_field,global_centered_whitened_pca,hidden_motion_minus_zero_static,hidden_eye_tau_marginal,zero_static,2.0,all,-0.24758872467097737,-0.24758872467097737,-0.24758872467097737,0.0,2
pyramid_local_field,fold_centered_whitened_pca,hidden_motion_minus_zero_static,hidden_eye_tau_marginal,zero_static,all,all,-0.5748723162396681,-0.6121589562881972,-0.5107623247221021,0.0,8
pyramid_local_field,fold_zscore_pca,hidden_motion_minus_zero_static,hidden_eye_tau_marginal,zero_static,all,all,-0.5364607873539822,-0.6295209237669774,-0.4496036591392866,0.0,8
pyramid_local_field,fold_zscore_whitened_pca,hidden_motion_minus_zero_static,hidden_eye_tau_marginal,zero_static,all,all,-0.3540749846299528,-0.4617976581057459,-0.22029366203645306,0.0,8
pyramid_local_field,global_centered_whitened_pca,hidden_motion_minus_zero_static,hidden_eye_tau_marginal,zero_static,all,all,-0.4424717582669095,-0.5586836605874758,-0.35777244836695776,0.0,8
pyramid_local_field,fold_centered_whitened_pca,known_eye_parallel_minus_orthogonal,known_eye:axis_edge_parallel,known_eye:axis_edge_orthogonal,0.5,axis_pair,0.0,0.0,0.0,0.0,2
