table_index,trial_id,response_cache_path,candidate_set_mode,observation_family,prior_family,observation_scale,axis_catalog_mode,n_candidates,n_prior_trajectories,n_timebins,n_units,true_candidate_index,true_source_row,true_candidate_id,observer_mode,observer_label,train_bank,test_input,latent,feature_space_mode,feature_fit_scope,feature_preprocessing,feature_whitened,feature_weighted,feature_variance_fraction,fold,n_train_samples,n_fit_sources,feature_mse,feature_neg_mse,feature_rmse,feature_l2_error,feature_cosine,feature_true_norm,feature_pred_norm
0,0,response_tables/trial_00000_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_parallel,0.5,per_candidate,4,16,40,756,0,25,source_row:25,hidden_eye_prior_mean,prior mean,prior_mean,observed,pyramid_local_field,fold_zscore_whitened_pca,fold,zscore,True,False,0.26795841605859516,0,26,127,1.0111350969666248,-1.0111350969666248,1.0055521353796752,2.8441309350543267,0.19254291777847102,2.298875268440312,2.1747339091077595
1,0,response_tables/trial_00000_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,0.5,per_candidate,4,16,40,756,0,25,source_row:25,hidden_eye_prior_mean,prior mean,prior_mean,observed,pyramid_local_field,fold_zscore_whitened_pca,fold,zscore,True,False,0.26795841605859516,0,26,127,1.0111350969666248,-1.0111350969666248,1.0055521353796752,2.8441309350543267,0.19254291777847102,2.298875268440312,2.1747339091077595
2,1,response_tables/trial_00001_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel1x.npz,hard_negative_structure,empirical,axis_edge_parallel,1.0,per_candidate,4,16,40,756,0,25,source_row:25,hidden_eye_prior_mean,prior mean,prior_mean,observed,pyramid_local_field,fold_zscore_whitened_pca,fold,zscore,True,False,0.26795841605859516,0,26,127,0.4046234086378552,-0.4046234086378552,0.6361001561372668,1.799162935673932,0.6415824555891069,2.298875268440312,1.832049659029418
3,1,response_tables/trial_00001_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel1x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,1.0,per_candidate,4,16,40,756,0,25,source_row:25,hidden_eye_prior_mean,prior mean,prior_mean,observed,pyramid_local_field,fold_zscore_whitened_pca,fold,zscore,True,False,0.26795841605859516,0,26,127,0.4046234086378552,-0.4046234086378552,0.6361001561372668,1.799162935673932,0.6415824555891069,2.298875268440312,1.832049659029418
4,2,response_tables/trial_00002_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,per_candidate,4,16,40,756,0,25,source_row:25,hidden_eye_prior_mean,prior mean,prior_mean,observed,pyramid_local_field,fold_zscore_whitened_pca,fold,zscore,True,False,0.26795841605859516,0,26,127,3.570564962201029,-3.570564962201029,1.8895938617070678,5.344578533206172,0.22569875970807982,2.298875268440312,5.37157428007066
5,2,response_tables/trial_00002_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel2x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,2.0,per_candidate,4,16,40,756,0,25,source_row:25,hidden_eye_prior_mean,prior mean,prior_mean,observed,pyramid_local_field,fold_zscore_whitened_pca,fold,zscore,True,False,0.26795841605859516,0,26,127,3.570564962201029,-3.570564962201029,1.8895938617070678,5.344578533206172,0.22569875970807982,2.298875268440312,5.37157428007066
0,0,response_tables/trial_00000_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_parallel,0.5,per_candidate,4,16,40,756,0,25,source_row:25,zero_eye_on_motion,zero-eye model,zero,observed,pyramid_local_field,fold_zscore_whitened_pca,fold,zscore,True,False,0.26795841605859516,0,26,127,1.3956028668107745,-1.3956028668107745,1.1813563674060314,3.3413803935628454,0.6452642354974684,2.298875268440312,4.32598952276649
1,0,response_tables/trial_00000_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,0.5,per_candidate,4,16,40,756,0,25,source_row:25,zero_eye_on_motion,zero-eye model,zero,observed,pyramid_local_field,fold_zscore_whitened_pca,fold,zscore,True,False,0.26795841605859516,0,26,127,1.3956028668107745,-1.3956028668107745,1.1813563674060314,3.3413803935628454,0.6452642354974684,2.298875268440312,4.32598952276649
2,1,response_tables/trial_00001_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel1x.npz,hard_negative_structure,empirical,axis_edge_parallel,1.0,per_candidate,4,16,40,756,0,25,source_row:25,zero_eye_on_motion,zero-eye model,zero,observed,pyramid_local_field,fold_zscore_whitened_pca,fold,zscore,True,False,0.26795841605859516,0,26,127,15.02008655178329,-15.02008655178329,3.8755756413445592,10.961783267984561,-0.11551388220837024,2.298875268440312,10.455753080696253
3,1,response_tables/trial_00001_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel1x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,1.0,per_candidate,4,16,40,756,0,25,source_row:25,zero_eye_on_motion,zero-eye model,zero,observed,pyramid_local_field,fold_zscore_whitened_pca,fold,zscore,True,False,0.26795841605859516,0,26,127,15.02008655178329,-15.02008655178329,3.8755756413445592,10.961783267984561,-0.11551388220837024,2.298875268440312,10.455753080696253
4,2,response_tables/trial_00002_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,per_candidate,4,16,40,756,0,25,source_row:25,zero_eye_on_motion,zero-eye model,zero,observed,pyramid_local_field,fold_zscore_whitened_pca,fold,zscore,True,False,0.26795841605859516,0,26,127,178.48967876954634,-178.48967876954634,13.360002947961739,37.78779472470405,-0.24207097122157817,2.298875268440312,37.16541625821907
5,2,response_tables/trial_00002_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel2x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,2.0,per_candidate,4,16,40,756,0,25,source_row:25,zero_eye_on_motion,zero-eye model,zero,observed,pyramid_local_field,fold_zscore_whitened_pca,fold,zscore,True,False,0.26795841605859516,0,26,127,178.48967876954634,-178.48967876954634,13.360002947961739,37.78779472470405,-0.24207097122157817,2.298875268440312,37.16541625821907
0,0,response_tables/trial_00000_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_parallel,0.5,per_candidate,4,16,40,756,0,25,source_row:25,zero_static,0x stabilized,zero,zero_static,pyramid_local_field,fold_zscore_whitened_pca,fold,zscore,True,False,0.26795841605859516,0,26,127,0.8745125153380158,-0.8745125153380158,0.9351537388782744,2.645014200851127,0.6123308214736218,2.298875268440312,3.3293416624519643
1,0,response_tables/trial_00000_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,0.5,per_candidate,4,16,40,756,0,25,source_row:25,zero_static,0x stabilized,zero,zero_static,pyramid_local_field,fold_zscore_whitened_pca,fold,zscore,True,False,0.26795841605859516,0,26,127,0.8745125153380158,-0.8745125153380158,0.9351537388782744,2.645014200851127,0.6123308214736218,2.298875268440312,3.3293416624519643
2,1,response_tables/trial_00001_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel1x.npz,hard_negative_structure,empirical,axis_edge_parallel,1.0,per_candidate,4,16,40,756,0,25,source_row:25,zero_static,0x stabilized,zero,zero_static,pyramid_local_field,fold_zscore_whitened_pca,fold,zscore,True,False,0.26795841605859516,0,26,127,0.8745125153380158,-0.8745125153380158,0.9351537388782744,2.645014200851127,0.6123308214736218,2.298875268440312,3.3293416624519643
3,1,response_tables/trial_00001_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel1x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,1.0,per_candidate,4,16,40,756,0,25,source_row:25,zero_static,0x stabilized,zero,zero_static,pyramid_local_field,fold_zscore_whitened_pca,fold,zscore,True,False,0.26795841605859516,0,26,127,0.8745125153380158,-0.8745125153380158,0.9351537388782744,2.645014200851127,0.6123308214736218,2.298875268440312,3.3293416624519643
4,2,response_tables/trial_00002_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,per_candidate,4,16,40,756,0,25,source_row:25,zero_static,0x stabilized,zero,zero_static,pyramid_local_field,fold_zscore_whitened_pca,fold,zscore,True,False,0.26795841605859516,0,26,127,0.8745125153380158,-0.8745125153380158,0.9351537388782744,2.645014200851127,0.6123308214736218,2.298875268440312,3.3293416624519643
