row_index,table_index,manifest_table_index,trial_id,response_cache_path,candidate_set_mode,observation_family,prior_family,prior_scale,axis_catalog_mode,true_candidate_index,true_candidate_id,true_source_row,n_candidates,n_trajectories,n_timebins,n_units,projection_basis_dim,continuous_inference_basis_dim,trajectory_rmse,trajectory_corr_mean,continuous_joint_true_rank,continuous_joint_correct,input_mode,decoder_mode,fold,latent,feature_space_mode,feature_dim,feature_variance_fraction,input_dim,n_train_rows,train_source,feature_mse,feature_neg_mse,feature_rmse,feature_l2_error,feature_cosine,feature_true_norm,feature_pred_norm
20,20,20,10,response_tables/trial_00010_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel1x.npz,hard_negative_structure,empirical,axis_edge_parallel,1.0,per_candidate,0,source_row:369,369,4,16,40,756,8,20,0.10395399455496865,0.06421425951900003,1,True,observed_plus_continuous_tau_interactions,mlp,0,pyramid_local_field,fold_zscore_whitened_pca,8,0.27058152656202694,1200,30,observed_true_rows,0.23179346342824092,-0.23179346342824092,0.481449336304705,1.3617443619952783,0.5388341649002709,1.3032474367250582,1.5078562150408812
21,21,21,10,response_tables/trial_00010_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel1x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,1.0,per_candidate,0,source_row:369,369,4,16,40,756,8,20,0.10016566494726782,0.5387425001308523,1,True,observed_plus_continuous_tau_interactions,mlp,0,pyramid_local_field,fold_zscore_whitened_pca,8,0.27058152656202694,1200,30,observed_true_rows,0.18699941546578308,-0.18699941546578308,0.43243429034453673,1.223108876480857,0.6329725282144893,1.3032474367250582,1.5163199694964824
22,22,22,11,response_tables/trial_00011_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,per_candidate,0,source_row:369,369,4,16,40,756,8,20,0.1455633604650242,-0.16219254436514066,1,True,observed_plus_continuous_tau_interactions,mlp,0,pyramid_local_field,fold_zscore_whitened_pca,8,0.27058152656202694,1200,30,observed_true_rows,0.2777039305963498,-0.2777039305963498,0.5269762144502822,1.4905138190472433,0.5106057319866879,1.3032474367250582,1.6482962740822171
23,23,23,11,response_tables/trial_00011_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel2x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,2.0,per_candidate,0,source_row:369,369,4,16,40,756,8,20,0.14646220608054794,0.4682520747408019,1,True,observed_plus_continuous_tau_interactions,mlp,0,pyramid_local_field,fold_zscore_whitened_pca,8,0.27058152656202694,1200,30,observed_true_rows,0.14513660374299375,-0.14513660374299375,0.38096798256939357,1.0775401755591065,0.6958308447315645,1.3032474367250582,1.4406911557404702
24,24,24,12,response_tables/trial_00012_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_parallel,0.5,per_candidate,0,source_row:420,420,4,16,40,756,8,10,0.08086920942784406,0.02430127054957404,1,True,observed_plus_continuous_tau_interactions,mlp,0,pyramid_local_field,fold_zscore_whitened_pca,8,0.27058152656202694,1200,30,observed_true_rows,0.48769823598810824,-0.48769823598810824,0.6983539474994813,1.9752432477811095,-0.06792650387925643,1.006123909707421,1.6328251372313702
25,25,25,12,response_tables/trial_00012_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,0.5,per_candidate,0,source_row:420,420,4,16,40,756,8,10,0.08428068281136235,-0.2787079493511984,1,True,observed_plus_continuous_tau_interactions,mlp,0,pyramid_local_field,fold_zscore_whitened_pca,8,0.27058152656202694,1200,30,observed_true_rows,0.4827023677847801,-0.4827023677847801,0.6947678517208321,1.9651002372088402,-0.002612922302830081,1.006123909707421,1.6853700490958337
26,26,26,13,response_tables/trial_00013_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel1x.npz,hard_negative_structure,empirical,axis_edge_parallel,1.0,per_candidate,0,source_row:420,420,4,16,40,756,8,20,0.18783886181265902,-0.04621193420767042,1,True,observed_plus_continuous_tau_interactions,mlp,0,pyramid_local_field,fold_zscore_whitened_pca,8,0.27058152656202694,1200,30,observed_true_rows,0.42068037392552127,-0.42068037392552127,0.6485987773080684,1.834514374815354,0.03864948357908461,1.006123909707421,1.5733795073746935
27,27,27,13,response_tables/trial_00013_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel1x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,1.0,per_candidate,0,source_row:420,420,4,16,40,756,8,20,0.1880871363171034,-0.4241430491116226,1,True,observed_plus_continuous_tau_interactions,mlp,0,pyramid_local_field,fold_zscore_whitened_pca,8,0.27058152656202694,1200,30,observed_true_rows,0.42460312383560517,-0.42460312383560517,0.6516157793021937,1.8430477450909517,0.06399319805293213,1.006123909707421,1.609922245143853
28,28,28,14,response_tables/trial_00014_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,per_candidate,0,source_row:420,420,4,16,40,756,8,20,0.16203736329664056,0.1787580757191293,1,True,observed_plus_continuous_tau_interactions,mlp,0,pyramid_local_field,fold_zscore_whitened_pca,8,0.27058152656202694,1200,30,observed_true_rows,0.3733737824910689,-0.3733737824910689,0.6110431920012438,1.7282911386478121,0.16817507355590003,1.006123909707421,1.5845972253183453
29,29,29,14,response_tables/trial_00014_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel2x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,2.0,per_candidate,0,source_row:420,420,4,16,40,756,8,20,0.1668825335596601,-0.4591047985750839,1,True,observed_plus_continuous_tau_interactions,mlp,0,pyramid_local_field,fold_zscore_whitened_pca,8,0.27058152656202694,1200,30,observed_true_rows,0.4128357831678633,-0.4128357831678633,0.6425229825989599,1.8173294322557223,0.07972520884381311,1.006123909707421,1.5957447448109463
