decoder_mode,latent,feature_space_mode,contrast,lhs,rhs,observation_scale,prior_family,mean_feature_cosine_delta,ci_low,ci_high,fraction_positive,n
linear_gaussian,pyramid_local_field,fold_zscore_whitened_pca,hidden_motion_minus_zero_static,hidden_eye_tau_marginal,zero_static,1.0,all,-0.09104570170701529,-0.11830041638901784,-0.06418226913407563,0.3515625,256
linear_gaussian,pyramid_local_field,global_centered_whitened_pca,hidden_motion_minus_zero_static,hidden_eye_tau_marginal,zero_static,1.0,all,-0.07022565591191085,-0.09707633805603699,-0.042962351978802556,0.3828125,256
linear_gaussian,pyramid_local_field,fold_centered_whitened_pca,hidden_motion_minus_zero_static,hidden_eye_tau_marginal,zero_static,2.0,all,-0.08464501898665708,-0.11397814312882117,-0.054430710345958026,0.3671875,256
linear_gaussian,pyramid_local_field,fold_zscore_pca,hidden_motion_minus_zero_static,hidden_eye_tau_marginal,zero_static,2.0,all,-0.16877684024582734,-0.19306468963715576,-0.14541539033883175,0.21875,256
linear_gaussian,pyramid_local_field,fold_zscore_whitened_pca,hidden_motion_minus_zero_static,hidden_eye_tau_marginal,zero_static,2.0,all,-0.10492577583783806,-0.13664138774484197,-0.07470222354758455,0.3515625,256
linear_gaussian,pyramid_local_field,global_centered_whitened_pca,hidden_motion_minus_zero_static,hidden_eye_tau_marginal,zero_static,2.0,all,-0.08387687027041801,-0.11497778435049906,-0.053961164997578394,0.359375,256
linear_gaussian,pyramid_local_field,fold_centered_whitened_pca,hidden_motion_minus_zero_static,hidden_eye_tau_marginal,zero_static,all,all,-0.09024068384379313,-0.10693730166758399,-0.0726895980839107,0.3515625,768
linear_gaussian,pyramid_local_field,fold_zscore_pca,hidden_motion_minus_zero_static,hidden_eye_tau_marginal,zero_static,all,all,-0.18719112527538742,-0.20073835069349782,-0.17415099548663202,0.17447916666666666,768
linear_gaussian,pyramid_local_field,fold_zscore_whitened_pca,hidden_motion_minus_zero_static,hidden_eye_tau_marginal,zero_static,all,all,-0.10586679060557397,-0.12198140201367602,-0.08939841196537911,0.3411458333333333,768
linear_gaussian,pyramid_local_field,global_centered_whitened_pca,hidden_motion_minus_zero_static,hidden_eye_tau_marginal,zero_static,all,all,-0.08241194091457092,-0.09962008684091321,-0.06620425971543813,0.3854166666666667,768
linear_gaussian,pyramid_local_field,fold_centered_whitened_pca,known_eye_parallel_minus_orthogonal,known_eye:axis_edge_parallel,known_eye:axis_edge_orthogonal,0.5,axis_pair,0.0,0.0,0.0,0.0,128
linear_gaussian,pyramid_local_field,fold_zscore_pca,known_eye_parallel_minus_orthogonal,known_eye:axis_edge_parallel,known_eye:axis_edge_orthogonal,0.5,axis_pair,0.0,0.0,0.0,0.0,128
linear_gaussian,pyramid_local_field,fold_zscore_whitened_pca,known_eye_parallel_minus_orthogonal,known_eye:axis_edge_parallel,known_eye:axis_edge_orthogonal,0.5,axis_pair,0.0,0.0,0.0,0.0,128
linear_gaussian,pyramid_local_field,global_centered_whitened_pca,known_eye_parallel_minus_orthogonal,known_eye:axis_edge_parallel,known_eye:axis_edge_orthogonal,0.5,axis_pair,0.0,0.0,0.0,0.0,128
linear_gaussian,pyramid_local_field,fold_centered_whitened_pca,known_eye_parallel_minus_orthogonal,known_eye:axis_edge_parallel,known_eye:axis_edge_orthogonal,1.0,axis_pair,8.673617379884035e-19,0.0,2.6020852139652106e-18,0.0078125,128
linear_gaussian,pyramid_local_field,fold_zscore_pca,known_eye_parallel_minus_orthogonal,known_eye:axis_edge_parallel,known_eye:axis_edge_orthogonal,1.0,axis_pair,8.131516293641283e-20,-5.692061405548898e-19,8.944667923005412e-19,0.0078125,128
linear_gaussian,pyramid_local_field,fold_zscore_whitened_pca,known_eye_parallel_minus_orthogonal,known_eye:axis_edge_parallel,known_eye:axis_edge_orthogonal,1.0,axis_pair,-8.673617379884035e-19,-3.903127820947816e-18,8.782037597131994e-19,0.0078125,128
